demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
fixed [ˈfɪkst] (adj.) [anki:play:q:0]	неподвижный, закрепленный [anki:play:a:0]
burst [ˈbərst] (v.) [anki:play:q:0]	лопаться, взрываться [anki:play:a:0]
strange [ˈstreɪndʒ] (adj.) [anki:play:q:0]	чужой, чуждый [anki:play:a:0]
stupid [ˈstuːpəd] (adj.) [anki:play:q:0]	глупый, тупой [anki:play:a:0]
pet [ˈpet] (n.) [anki:play:q:0]	домашнее животное [anki:play:a:0]
frame [ˈfreɪm] (n.) [anki:play:q:0]	рама, каркас, сруб [anki:play:a:0]
mix [ˈmɪks] (v.) [anki:play:q:0]	мешать, смешивать [anki:play:a:0]
good [ˈgʊd] (n.) [anki:play:q:0]	благо, польза [anki:play:a:0]
beside [bɪˈsaɪd] (prep.) [anki:play:q:0]	рядом с, близко, около [anki:play:a:0]
tool [ˈtuːl] (n.) [anki:play:q:0]	инструмент [anki:play:a:0]
just [ˈdʒəst] (adv.) [anki:play:q:0]	точно, как раз, именно [anki:play:a:0]
rest [ˈrest] (v.) [anki:play:q:0]	отдыхать, давать отдых [anki:play:a:0]
usual [ˈjuːʒəwəl] (adj.) [anki:play:q:0]	обыкновенный, обычный [anki:play:a:0]
count [ˈkæʊnt] (v.) [anki:play:q:0]	вычисление, подсчет [anki:play:a:0]
disaster [dɪˈzæstər] (n.) [anki:play:q:0]	беда, бедствие, несчастье [anki:play:a:0]
sweet [ˈswiːt] (adj.) [anki:play:q:0]	сладкий, приторный [anki:play:a:0]
while [ˈwaɪl] (n.) [anki:play:q:0]	время, промежуток времени [anki:play:a:0]
solid [ˈsɑləd] (adj.) [anki:play:q:0]	твердый [anki:play:a:0]
bullet [ˈbʊlət] (n.) [anki:play:q:0]	пуля, грузило [anki:play:a:0]
certain [ˈsərtən] (adj.) [anki:play:q:0]	точный, определенный [anki:play:a:0]
friendship [ˈfrenˌʃɪp] (n.) [anki:play:q:0]	дружба [anki:play:a:0]
crazy [ˈkreɪziː] (adj.) [anki:play:q:0]	псих, ненормальный [anki:play:a:0]
bye [ˈbaɪ] (exclamation) [anki:play:q:0]	пока! [anki:play:a:0]
easily [ˈiːzliː] (adv.) [anki:play:q:0]	легко, свободно [anki:play:a:0]
glasses [ˈglæsɪz] (n.) [anki:play:q:0]	очки, линзы [anki:play:a:0]
black [ˈblæk] (adj.) [anki:play:q:0]	черный, темный [anki:play:a:0]
refuse [rɪˈfjuːz] (v.) [anki:play:q:0]	отвергать, отказывать [anki:play:a:0]
throat [ˈθroʊt] (n.) [anki:play:q:0]	горло, глотка [anki:play:a:0]
advice [ədˈvaɪs] (n.) [anki:play:q:0]	совет, рекомендация [anki:play:a:0]
set [ˈset] (n.) [anki:play:q:0]	комплект, набор [anki:play:a:0]
analysis [əˈnæləsəs] (n.) [anki:play:q:0]	анализ, изучение [anki:play:a:0]
sum [ˈsəm] (n.) [anki:play:q:0]	сумма, итог [anki:play:a:0]
camp [ˈkæmp] (n.) [anki:play:q:0]	лагерь [anki:play:a:0]
bird [ˈbərd] (n.) [anki:play:q:0]	птица [anki:play:a:0]
hope [ˈhoʊp] (v.) [anki:play:q:0]	надеяться, уповать [anki:play:a:0]
color [ˈkələr] (n.) [anki:play:q:0]	цвет, оттенок [anki:play:a:0]
accurate [ˈækjərət] (adj.) [anki:play:q:0]	верный, правильный, аккуратный [anki:play:a:0]
secret [ˈsiːkrət] (adj.) [anki:play:q:0]	секретный, тайный [anki:play:a:0]
admit [ədˈmɪt] (v.) [anki:play:q:0]	допускать, признавать [anki:play:a:0]
least [ˈliːst] (adj.) [anki:play:q:0]	малейший, минимальный, наименьший [anki:play:a:0]
through [ˈθruː] (adv.) [anki:play:q:0]	насквозь, от начала до конца [anki:play:a:0]
south [ˈsæʊθ] (adv.) [anki:play:q:0]	на юг [anki:play:a:0]
situation [ˌsɪtʃəˈweɪʃən] (n.) [anki:play:q:0]	обстановка, положение, ситуация [anki:play:a:0]
dark [ˈdɑrk] (n.) [anki:play:q:0]	темнота, тьма [anki:play:a:0]
few [ˈfjuː] (adj.) [anki:play:q:0]	мало, немного [anki:play:a:0]
aunt [ˈænt] (n.) [anki:play:q:0]	тетя, тётка [anki:play:a:0]
inside [ɪnˈsaɪd] (adv.) [anki:play:q:0]	внутри [anki:play:a:0]
pair [ˈper] (n.) [anki:play:q:0]	пара, парный предмет, чета [anki:play:a:0]
traffic [ˈtræfɪk] (n.) [anki:play:q:0]	движение, транспорт, трафик [anki:play:a:0]
symbol [ˈsɪmbəl] (n.) [anki:play:q:0]	символ, этикетка [anki:play:a:0]
kilometer [kəˈlɑmətər] (n.) [anki:play:q:0]	километр [anki:play:a:0]
atmosphere [ˈætməˌsfɪr] (n.) [anki:play:q:0]	атмосфера, обстановка [anki:play:a:0]
problem [ˈprɑbləm] (n.) [anki:play:q:0]	проблема, вопрос, задача [anki:play:a:0]
painting [ˈpeɪntɪŋ] (n.) [anki:play:q:0]	живопись [anki:play:a:0]
cover [ˈkəvər] (n.) [anki:play:q:0]	крышка, колпак [anki:play:a:0]
perhaps [pərˈhæps] (adv.) [anki:play:q:0]	может быть, возможно, наверное [anki:play:a:0]
calculate [ˈkælkjəˌleɪt] (v.) [anki:play:q:0]	вычислять, рассчитывать [anki:play:a:0]
present [ˈprezənt] (n.) [anki:play:q:0]	текущий момент [anki:play:a:0]
hill [ˈhɪl] (n.) [anki:play:q:0]	холм, возвышенность [anki:play:a:0]
secretary [ˈsekrəˌteriː] (n.) [anki:play:q:0]	секретарь, помощник [anki:play:a:0]
hole [ˈhoʊl] (n.) [anki:play:q:0]	дыра, отверстие [anki:play:a:0]
success [səkˈses] (n.) [anki:play:q:0]	удача, успех [anki:play:a:0]
recent [ˈriːsənt] (adj.) [anki:play:q:0]	недавний, современный [anki:play:a:0]
mistake [məˈsteɪk] (n.) [anki:play:q:0]	ошибка, заблуждение [anki:play:a:0]
star [ˈstɑr] (n.) [anki:play:q:0]	звезда, светило [anki:play:a:0]
another [əˈnəðər] (pron.) [anki:play:q:0]	другой, иной [anki:play:a:0]
mind [ˈmaɪnd] (v.) [anki:play:q:0]	заботится, присматривать [anki:play:a:0]
turn [ˈtərn] (v.) [anki:play:q:0]	поворачивать, вращаться [anki:play:a:0]
criticize [ˈkrɪtəˌsaɪz] (v.) [anki:play:q:0]	критиковать, осуждать [anki:play:a:0]
rest [ˈrest] (n.) [anki:play:q:0]	покой, отдых, сон [anki:play:a:0]
stare [ˈster] (v.) [anki:play:q:0]	вглядываться, уставится [anki:play:a:0]
aware [əˈwer] (adj.) [anki:play:q:0]	знающий, сознающий [anki:play:a:0]
least [ˈliːst] (pron.) [anki:play:q:0]	менее [anki:play:a:0]
where [ˈwer] (conj.) [anki:play:q:0]	туда, куда [anki:play:a:0]
technical [ˈteknɪkəl] (adj.) [anki:play:q:0]	технический [anki:play:a:0]
back [ˈbæk] (adv.) [anki:play:q:0]	назад, обратно [anki:play:a:0]
take [ˈteɪk] (v.) [anki:play:q:0]	брать, хватать [anki:play:a:0]
melt [ˈmelt] (v.) [anki:play:q:0]	таять, плавится [anki:play:a:0]
time [ˈtaɪm] (n.) [anki:play:q:0]	время [anki:play:a:0]
obtain [əbˈteɪn] (v.) [anki:play:q:0]	получать, добывать [anki:play:a:0]
artistic [ɑrˈtɪstɪk] (adj.) [anki:play:q:0]	артистический, художественный [anki:play:a:0]
bite [ˈbaɪt] (v.) [anki:play:q:0]	кусать, жалить [anki:play:a:0]
step [ˈstep] (v.) [anki:play:q:0]	ступать, шагать, делать шаг [anki:play:a:0]
stick [ˈstɪk] (v.) [anki:play:q:0]	втыкать, приклеивать, липнуть [anki:play:a:0]
pronunciation [prəˌnənsiːˈeɪʃən] (n.) [anki:play:q:0]	произношение, акцент [anki:play:a:0]
burn [ˈbərn] (v.) [anki:play:q:0]	гореть, пылать [anki:play:a:0]
thumb [ˈθəm] (n.) [anki:play:q:0]	большой палец (руки, перчатки и тд.) [anki:play:a:0]
grandparent [ˈgrænˌperənt] (n.) [anki:play:q:0]	прародитель [anki:play:a:0]
sentence [ˈsentəns] (n.) [anki:play:q:0]	предложение, фраза [anki:play:a:0]
arrest [əˈrest] (v.) [anki:play:q:0]	арестовывать, задерживать [anki:play:a:0]
treatment [ˈtriːtmənt] (n.) [anki:play:q:0]	лечение, уход, обращение [anki:play:a:0]
uniform [ˈjuːnəˌfɔrm] (n.) [anki:play:q:0]	форма (одежды) [anki:play:a:0]
usually [ˈjuːʒəwəliː] (adv.) [anki:play:q:0]	обычно, обыкновенно [anki:play:a:0]
cold [ˈkoʊld] (adj.) [anki:play:q:0]	холодный [anki:play:a:0]
potato [pəˈteɪtoʊ] (n.) [anki:play:q:0]	картофелина [anki:play:a:0]
pool [ˈpuːl] (n.) [anki:play:q:0]	лужа, озерцо [anki:play:a:0]
word [ˈwərd] (n.) [anki:play:q:0]	слово [anki:play:a:0]
particular [pəˈtɪkjələr] (adj.) [anki:play:q:0]	редкий, специфический, отдельный [anki:play:a:0]
organize [ˈɔrgəˌnaɪz] (v.) [anki:play:q:0]	организовывать, планировать [anki:play:a:0]
volume [ˈvɑljəm] (n.) [anki:play:q:0]	объем, масса, величина [anki:play:a:0]
proper [ˈprɑpər] (adj.) [anki:play:q:0]	присущий, свойственный [anki:play:a:0]
hotel [hoʊˈtel] (n.) [anki:play:q:0]	гостиница, отель [anki:play:a:0]
dust [ˈdəst] (n.) [anki:play:q:0]	пыль, песчинка [anki:play:a:0]
promise [ˈprɑməs] (n.) [anki:play:q:0]	обещание [anki:play:a:0]
detail [dɪˈteɪl] (n.) [anki:play:q:0]	подробность, деталь [anki:play:a:0]
game [ˈgeɪm] (n.) [anki:play:q:0]	игра [anki:play:a:0]
passage [ˈpæsɪdʒ] (n.) [anki:play:q:0]	переход, проезд [anki:play:a:0]
column [ˈkɑləm] (n.) [anki:play:q:0]	колонна, столбец [anki:play:a:0]
lonely [ˈloʊnliː] (adj.) [anki:play:q:0]	одинокий, малолюдный [anki:play:a:0]
good [ˈgʊd] (adj.) [anki:play:q:0]	хороший [anki:play:a:0]
each other [ˈiːtʃ ˈəðər ] (pron.) [anki:play:q:0]	друг друга [anki:play:a:0]
baseball [ˈbeɪsˌbɔl] (n.) [anki:play:q:0]	бейсбол, бейсбольный мяч [anki:play:a:0]
adult [əˈdəlt] (n.) [anki:play:q:0]	взрослый, совершеннолетний [anki:play:a:0]
science [ˈsaɪəns] (n.) [anki:play:q:0]	наука [anki:play:a:0]
silence [ˈsaɪləns] (n.) [anki:play:q:0]	тишина, безмолвие [anki:play:a:0]
photo [ˈfoʊtoʊ] (n.) [anki:play:q:0]	фотография, снимок [anki:play:a:0]
soap [ˈsoʊp] (n.) [anki:play:q:0]	мыло [anki:play:a:0]
be [ˈbiː] (v.) [anki:play:q:0]	быть, жить [anki:play:a:0]
our [ɑr] (pron.) [anki:play:q:0]	наш, свой [anki:play:a:0]
mom [ˈmɑm] (n.) [anki:play:q:0]	мама [anki:play:a:0]
square [ˈskwer] (n.) [anki:play:q:0]	квадрат [anki:play:a:0]
rather [ˈræðər] (adv.) [anki:play:q:0]	лучше, предпочтительнее [anki:play:a:0]
global [ˈgloʊbəl] (adj.) [anki:play:q:0]	всемирный, мировой, глобальный [anki:play:a:0]
punishment [ˈpənɪʃmənt] (n.) [anki:play:q:0]	кара, наказание [anki:play:a:0]
nervous [ˈnərvəs] (adj.) [anki:play:q:0]	нервный [anki:play:a:0]
thing [ˈθɪŋ] (n.) [anki:play:q:0]	вещь, предмет [anki:play:a:0]
paint [ˈpeɪnt] (n.) [anki:play:q:0]	краска [anki:play:a:0]
suffer [ˈsəfər] (v.) [anki:play:q:0]	страдать, терпеть [anki:play:a:0]
bomb [ˈbɑm] (v.) [anki:play:q:0]	бомбить, провалиться [anki:play:a:0]
luck [ˈlək] (n.) [anki:play:q:0]	фортуна, судьба [anki:play:a:0]
rain [ˈreɪn] (n.) [anki:play:q:0]	дождь [anki:play:a:0]
include [ɪnˈkluːd] (v.) [anki:play:q:0]	заключать, включать [anki:play:a:0]
stove [ˈstoʊv] (n.) [anki:play:q:0]	печь , печка [anki:play:a:0]
half [ˈhæf] (pron.) [anki:play:q:0]	наполовину [anki:play:a:0]
e.g. [ˌi ˈdʒi] (lat.) [anki:play:q:0]	(exempli gratia) например [anki:play:a:0]
calm [ˈkɑm] (adj.) [anki:play:q:0]	спокойный, мирный [anki:play:a:0]
clean [ˈkliːn] (n.) [anki:play:q:0]	уборка, чистка [anki:play:a:0]
support [səˈpɔrt] (n.) [anki:play:q:0]	поддержка, помощь, техподдержка [anki:play:a:0]
sorry [ˈsɑriː] (adj.) [anki:play:q:0]	огорченный, сожалеющий [anki:play:a:0]
mark [ˈmɑrk] (v.) [anki:play:q:0]	ставить знак, штамповать, маркировать [anki:play:a:0]
married [ˈmeriːd] (adj.) [anki:play:q:0]	женатый, замужняя [anki:play:a:0]
immediate [ɪˈmiːdiːət] (adj.) [anki:play:q:0]	безотлагательный, спешный [anki:play:a:0]
succeed [səkˈsiːd] (v.) [anki:play:q:0]	преуспевать, удаваться [anki:play:a:0]
divide [dəˈvaɪd] (v.) [anki:play:q:0]	делить, разделять [anki:play:a:0]
fill [ˈfɪl] (v.) [anki:play:q:0]	наполнять, заправлять [anki:play:a:0]
surprised [səˈpraɪzd] (adj.) [anki:play:q:0]	изумленный [anki:play:a:0]
surround [səˈræʊnd] (v.) [anki:play:q:0]	окружать, обступать [anki:play:a:0]
sometimes [ˈsəmˌtaɪmz] (adv.) [anki:play:q:0]	иногда, временами [anki:play:a:0]
failure [ˈfeɪljər] (n.) [anki:play:q:0]	неудача, провал [anki:play:a:0]
passenger [ˈpæsəndʒər] (n.) [anki:play:q:0]	пассажир [anki:play:a:0]
sweat [ˈswet] (n.) [anki:play:q:0]	испарина, пот [anki:play:a:0]
guide [ˈgaɪd] (n.) [anki:play:q:0]	проводник, гид [anki:play:a:0]
knock [ˈnɑk] (v.) [anki:play:q:0]	стучать, барабанить [anki:play:a:0]
there [ˈðer] (adv.) [anki:play:q:0]	там, туда [anki:play:a:0]
machine [məˈʃiːn] (n.) [anki:play:q:0]	машина, механизм [anki:play:a:0]
many [ˈmeniː] (pron.) [anki:play:q:0]	многие, множество, много [anki:play:a:0]
spell [ˈspel] (v.) [anki:play:q:0]	писать или произносить (слово) по буквам [anki:play:a:0]
a [ə] (art.) [anki:play:q:0]	неопределенный артикль перед согласными [anki:play:a:0]
sauce [ˈsɔs] (n.) [anki:play:q:0]	соус, подливка [anki:play:a:0]
tail [ˈteɪl] (n.) [anki:play:q:0]	хвост [anki:play:a:0]
suitable [ˈsuːtəbəl] (adj.) [anki:play:q:0]	подходящий, пригодный [anki:play:a:0]
history [ˈhɪstriː] (n.) [anki:play:q:0]	история [anki:play:a:0]
perfect [ˈpərfɪkt] (adj.) [anki:play:q:0]	совершенный, безупречный [anki:play:a:0]
correct [kəˈrekt] (v.) [anki:play:q:0]	исправлять, корректировать [anki:play:a:0]
band [ˈbænd] (n.) [anki:play:q:0]	тесьма, лента [anki:play:a:0]
butter [ˈbətər] (n.) [anki:play:q:0]	масло (продукт) [anki:play:a:0]
stomach [ˈstəmək] (n.) [anki:play:q:0]	желудок [anki:play:a:0]
taste [ˈteɪst] (v.) [anki:play:q:0]	пробовать, отведать [anki:play:a:0]
airplane [ˈerˌpleɪn] (n.) [anki:play:q:0]	самолет [anki:play:a:0]
hall [ˈhɔl] (n.) [anki:play:q:0]	зал, холл [anki:play:a:0]
enthusiasm [ɪnˈθuːziːˌæzəm] (n.) [anki:play:q:0]	восторг, энтузиазм [anki:play:a:0]
clothing [ˈkloʊðɪŋ] (n.) [anki:play:q:0]	одежда, платье, форма [anki:play:a:0]
keep [ˈkiːp] (v.) [anki:play:q:0]	держать, не отдавать, сохранять, продолжать делать [anki:play:a:0]
here [ˈhɪr] (adv.) [anki:play:q:0]	здесь, сейчас [anki:play:a:0]
price [ˈpraɪs] (n.) [anki:play:q:0]	цена [anki:play:a:0]
single [ˈsɪŋgəl] (adj.) [anki:play:q:0]	один, единственный [anki:play:a:0]
shock [ˈʃɑk] (v.) [anki:play:q:0]	поражать, потрясать [anki:play:a:0]
hire [ˈhaɪr] (v.) [anki:play:q:0]	нанимать, приглашать на работу [anki:play:a:0]
people [ˈpiːpəl] (n.) [anki:play:q:0]	люди, народ [anki:play:a:0]
wind [ˈwɪnd] (n.) [anki:play:q:0]	ветер, воздушный поток [anki:play:a:0]
spider [ˈspaɪdər] (n.) [anki:play:q:0]	паук [anki:play:a:0]
color [ˈkələr] (v.) [anki:play:q:0]	окрашивать [anki:play:a:0]
wrap [ˈræp] (v.) [anki:play:q:0]	завертывать, сворачивать [anki:play:a:0]
division [dəˈvɪʒən] (n.) [anki:play:q:0]	деление, разделение, дивизион [anki:play:a:0]
open [ˈoʊpən] (v.) [anki:play:q:0]	открывать, распахивать [anki:play:a:0]
file [fəˈleɪ] (n.) [anki:play:q:0]	папка, скоросшиватель [anki:play:a:0]
funny [ˈfəniː] (adj.) [anki:play:q:0]	забавный, смешной [anki:play:a:0]
answer [ˈænsər] (v.) [anki:play:q:0]	отвечать, откликаться [anki:play:a:0]
ashamed [əˈʃeɪmd] (adj.) [anki:play:q:0]	пристыженный [anki:play:a:0]
prison [ˈprɪzən] (n.) [anki:play:q:0]	тюрьма, темница [anki:play:a:0]
thanks [ˈθæŋks] (n.) [anki:play:q:0]	благодарность [anki:play:a:0]
electric [ɪˈlektrɪk] (adj.) [anki:play:q:0]	электрический [anki:play:a:0]
the [ðə] (definite article) [anki:play:q:0]	определенный артикль [anki:play:a:0]
expect [ɪkˈspekt] (v.) [anki:play:q:0]	ждать, ожидать [anki:play:a:0]
subject [ˈsəbdʒɪkt] (n.) [anki:play:q:0]	тема, предмет разговора, субъект [anki:play:a:0]
past [ˈpæst] (adj.) [anki:play:q:0]	прошлый, минувший [anki:play:a:0]
beach [ˈbiːtʃ] (n.) [anki:play:q:0]	берег, пляж [anki:play:a:0]
knot [ˈnɑt] (n.) [anki:play:q:0]	узел, бант [anki:play:a:0]
pink [ˈpɪŋk] (adj.) [anki:play:q:0]	розового цвета [anki:play:a:0]
exactly [ɪgˈzækliː] (adv.) [anki:play:q:0]	в точности, точно [anki:play:a:0]
move [ˈmuːv] (n.) [anki:play:q:0]	движение, перемена, переезд [anki:play:a:0]
camera [ˈkæmrə] (n.) [anki:play:q:0]	фотокамера [anki:play:a:0]
for [fər] (prep.) [anki:play:q:0]	для, ради [anki:play:a:0]
crash [ˈkræʃ] (v.) [anki:play:q:0]	разбивать, потерпеть аварию, разрушится с грохотом [anki:play:a:0]
rude [ˈruːd] (adj.) [anki:play:q:0]	грубый, оскорбительный [anki:play:a:0]
settle [ˈsetəl] (v.) [anki:play:q:0]	разрешить, уладить (дело) [anki:play:a:0]
trip [ˈtrɪp] (n.) [anki:play:q:0]	путешествие, поездка, экскурсия [anki:play:a:0]
fuel [ˈfjuːl] (n.) [anki:play:q:0]	топливо, горючее [anki:play:a:0]
guess [ˈges] (v.) [anki:play:q:0]	гадать, отгадать [anki:play:a:0]
fly [ˈflaɪ] (v.) [anki:play:q:0]	летать, пролетать [anki:play:a:0]
thirsty [ˈθərstiː] (adj.) [anki:play:q:0]	томимый жаждой [anki:play:a:0]
list [ˈlɪst] (v.) [anki:play:q:0]	составлять список, регистрировать [anki:play:a:0]
intend [ɪnˈtend] (v.) [anki:play:q:0]	намереваться, подразумевать, планировать [anki:play:a:0]
driver [ˈdraɪvər] (n.) [anki:play:q:0]	водитель, шофер [anki:play:a:0]
total [ˈtoʊtəl] (adj.) [anki:play:q:0]	весь, целый, общий, суммарный [anki:play:a:0]
though [ˈðoʊ] (adv.) [anki:play:q:0]	тем не менее, однако [anki:play:a:0]
lie [ˈliː] (v.) [anki:play:q:0]	лгать, обманывать [anki:play:a:0]
thread [ˈθred] (n.) [anki:play:q:0]	нитка, связь, резьба [anki:play:a:0]
valley [ˈvæliː] (n.) [anki:play:q:0]	долина [anki:play:a:0]
mine [ˈmaɪn] (pron.) [anki:play:q:0]	мой, моя, моё [anki:play:a:0]
wrong [ˈrɔŋ] (adj.) [anki:play:q:0]	неправильный, неверный [anki:play:a:0]
respect [rɪˈspekt] (n.) [anki:play:q:0]	уважение, признание [anki:play:a:0]
south [ˈsæʊθ] (adj.) [anki:play:q:0]	южный [anki:play:a:0]
habit [ˈhæbət] (n.) [anki:play:q:0]	обычай, традиция, привычка [anki:play:a:0]
right [ˈraɪt] (adj.) [anki:play:q:0]	правильный, верный [anki:play:a:0]
ticket [ˈtɪkət] (n.) [anki:play:q:0]	билет [anki:play:a:0]
wedding [ˈwedɪŋ] (n.) [anki:play:q:0]	свадьба, венчание [anki:play:a:0]
tie [ˈtaɪ] (n.) [anki:play:q:0]	лента, веревка, галстук [anki:play:a:0]
lift [ˈlɪft] (v.) [anki:play:q:0]	поднимать, повышать, подвозить [anki:play:a:0]
risk [ˈrɪsk] (v.) [anki:play:q:0]	рисковать [anki:play:a:0]
most [ˈmoʊst] (adj.) [anki:play:q:0]	самый большой, наибольший [anki:play:a:0]
secret [ˈsiːkrət] (n.) [anki:play:q:0]	секрет, тайна [anki:play:a:0]
title [ˈtaɪtəl] (n.) [anki:play:q:0]	заглавие, название, наименование [anki:play:a:0]
freedom [ˈfriːdəm] (n.) [anki:play:q:0]	независимость, свобода [anki:play:a:0]
sky [ˈskaɪ] (n.) [anki:play:q:0]	небеса, небо [anki:play:a:0]
kitchen [ˈkɪtʃən] (n.) [anki:play:q:0]	кухня [anki:play:a:0]
wool [ˈwʊl] (n.) [anki:play:q:0]	шерсть, пух [anki:play:a:0]
today [təˈdeɪ] (n.) [anki:play:q:0]	сегодняшний день [anki:play:a:0]
send [ˈsend] (v.) [anki:play:q:0]	посылать, отправлять [anki:play:a:0]
seed [ˈsiːd] (n.) [anki:play:q:0]	семя, зерно [anki:play:a:0]
neck [ˈnek] (n.) [anki:play:q:0]	шея, воротник [anki:play:a:0]
speak [ˈspiːk] (v.) [anki:play:q:0]	говорить, сказать, произнести речь [anki:play:a:0]
rich [ˈrɪtʃ] (adj.) [anki:play:q:0]	богатый, состоятельный [anki:play:a:0]
intention [ɪnˈtenʃən] (n.) [anki:play:q:0]	намерение, замысел [anki:play:a:0]
middle [ˈmɪdəl] (adj.) [anki:play:q:0]	средний, промежуточный, относящийся к эпохе Средневековья [anki:play:a:0]
under [ˈəndər] (prep.) [anki:play:q:0]	под, ниже [anki:play:a:0]
map [ˈmæp] (n.) [anki:play:q:0]	карта (территории) [anki:play:a:0]
topic [ˈtɑpɪk] (n.) [anki:play:q:0]	тема, предмет обсуждения, вопрос [anki:play:a:0]
alcoholic [ˌælkəˈhɔlɪk] (adj.) [anki:play:q:0]	алкогольный, спиртовой [anki:play:a:0]
silly [ˈsɪliː] (adj.) [anki:play:q:0]	глупый, нелепый, слабоумный [anki:play:a:0]
highway [ˈhaɪˌweɪ] (n.) [anki:play:q:0]	шоссе, магистраль [anki:play:a:0]
secretly [secretly] (adv.) [anki:play:q:0]	в тайне, скрытно [anki:play:a:0]
touch [ˈtətʃ] (n.) [anki:play:q:0]	прикосновение, касание [anki:play:a:0]
tour [ˈtʊr] (n.) [anki:play:q:0]	путешествие, поездка, тур [anki:play:a:0]
company [ˈkəmpniː] (n.) [anki:play:q:0]	общество, компания [anki:play:a:0]
old-fashioned [old-fashioned] (adj.) [anki:play:q:0]	старомодный [anki:play:a:0]
drink [ˈdrɪŋk] (n.) [anki:play:q:0]	напиток [anki:play:a:0]
walk [ˈwɔk] (v.) [anki:play:q:0]	идти, гулять [anki:play:a:0]
track [ˈtræk] (n.) [anki:play:q:0]	след, отпечаток, колея [anki:play:a:0]
president [ˈprezədənt] (n.) [anki:play:q:0]	президент [anki:play:a:0]
tradition [trəˈdɪʃən] (n.) [anki:play:q:0]	традиция, старый обычай [anki:play:a:0]
dangerous [ˈdeɪndʒərəs] (adj.) [anki:play:q:0]	опасный, рискованный [anki:play:a:0]
fish [ˈfɪʃ] (n.) [anki:play:q:0]	рыба [anki:play:a:0]
fully [ˈfʊ(l)liː] (adv.) [anki:play:q:0]	вполне, совсем, полностью [anki:play:a:0]
bring [ˈbrɪŋ] (v.) [anki:play:q:0]	приносить, привозить [anki:play:a:0]
accident [ˈæksədənt] (n.) [anki:play:q:0]	авария, катастрофа, случай [anki:play:a:0]
yesterday [ˈjestərdeɪ] (n.) [anki:play:q:0]	вчерашний день [anki:play:a:0]
natural [ˈnætʃərəl] (adj.) [anki:play:q:0]	естественный, природный [anki:play:a:0]
art [ˈɑrt] (n.) [anki:play:q:0]	искусство [anki:play:a:0]
aim [ˈeɪm] (v.) [anki:play:q:0]	стремиться, целиться [anki:play:a:0]
book [ˈbʊk] (n.) [anki:play:q:0]	книга, том [anki:play:a:0]
grandmother [ˈgrænˌməðər] (n.) [anki:play:q:0]	бабушка, бабка [anki:play:a:0]
polite [pəˈlaɪt] (adj.) [anki:play:q:0]	вежливый, любезный [anki:play:a:0]
owe [ˈoʊ] (v.) [anki:play:q:0]	быть должным [anki:play:a:0]
moment [ˈmoʊmənt] (n.) [anki:play:q:0]	миг, минута, момент [anki:play:a:0]
thick [ˈθɪk] (adj.) [anki:play:q:0]	толстый, полный [anki:play:a:0]
average [ˈævrɪdʒ] (n.) [anki:play:q:0]	средняя величина [anki:play:a:0]
nor [ˈnɔr] (conj.) [anki:play:q:0]	также не [anki:play:a:0]
check [ˈtʃek] (v.) [anki:play:q:0]	проверять, сверять [anki:play:a:0]
true [ˈtruː] (adj.) [anki:play:q:0]	верный, правильный, правдивый [anki:play:a:0]
magazine [ˈmægəˌziːn] (n.) [anki:play:q:0]	журнал (периодический) [anki:play:a:0]
bear [ˈber] (v.) [anki:play:q:0]	носить, нести [anki:play:a:0]
second [ˈsekənd] (adv.) [anki:play:q:0]	во-вторых [anki:play:a:0]
lack [ˈlæk] (n.) [anki:play:q:0]	недостаток, нужда [anki:play:a:0]
point [ˈpɔɪnt] (v.) [anki:play:q:0]	указывать (пальцем, указкой), направлять [anki:play:a:0]
acid [ˈæsəd] (n.) [anki:play:q:0]	кислота [anki:play:a:0]
previous [ˈpriːviːəs] (adj.) [anki:play:q:0]	предыдущий, предшествующий [anki:play:a:0]
show [ˈʃoʊ] (v.) [anki:play:q:0]	показывать [anki:play:a:0]
uncomfortable [ˌənˈkəm(p)(f)təbəl] (adj.) [anki:play:q:0]	неудобный [anki:play:a:0]
prisoner [ˈprɪznər] (n.) [anki:play:q:0]	заключенный, арестант [anki:play:a:0]
accuse [əˈkjuːz] (v.) [anki:play:q:0]	винить, обвинять [anki:play:a:0]
correct [kəˈrekt] (adj.) [anki:play:q:0]	правильный, верный, корректный [anki:play:a:0]
feeling [ˈfiːlɪŋ] (n.) [anki:play:q:0]	ощущение, чувство [anki:play:a:0]
slip [ˈslɪp] (v.) [anki:play:q:0]	подскользнуться, выскользнуть, ускользать [anki:play:a:0]
relaxed [rɪˈlækst] (adj.) [anki:play:q:0]	расслабленный [anki:play:a:0]
except [ɪkˈsept] (prep.) [anki:play:q:0]	исключая, кроме [anki:play:a:0]
weather [ˈweðər] (n.) [anki:play:q:0]	погода [anki:play:a:0]
offer [ˈɔfər] (n.) [anki:play:q:0]	предложение, оферта [anki:play:a:0]
up [ˈəp] (prep.) [anki:play:q:0]	вверх по, на [anki:play:a:0]
king [ˈkɪŋ] (n.) [anki:play:q:0]	король, царь [anki:play:a:0]
top [ˈtɑp] (n.) [anki:play:q:0]	верхушка, вершина [anki:play:a:0]
milk [ˈmɪlk] (n.) [anki:play:q:0]	молоко [anki:play:a:0]
